time_key,year,month,day
T00001,2017,05,20
T00002,2015,01,30
T00003,2020,03,14
T00004,2018,04,27
T00005,2018,04,14
T00006,2017,02,10
T00007,2015,05,06
T00008,2014,09,23
T00009,2016,04,16
T00010,2015,10,26
T00011,2018,05,02
T00012,2017,11,29
T00013,2014,09,17
T00014,2020,06,12
T00015,2018,11,22
T00016,2019,05,21
T00017,2015,03,19
T00018,2015,07,28
T00019,2017,11,12
T00020,2016,05,10
T00021,2016,04,24
T00022,2016,06,17
T00023,2020,12,05
T00024,2018,04,02
T00025,2020,08,02
T00026,2016,11,21
T00027,2020,01,24
T00028,2017,03,30
T00029,2020,01,15
T00030,2016,07,10
T00031,2016,05,17
T00032,2019,05,11
T00033,2016,11,02
T00034,2020,07,07
T00035,2017,04,07
T00036,2020,04,26
T00037,2017,04,20
T00038,2018,01,11
T00039,2015,09,17
T00040,2020,04,29
T00041,2014,04,23
T00042,2015,08,26
T00043,2014,09,09
T00044,2018,07,10
T00045,2020,04,19
T00046,2015,03,18
T00047,2014,07,29
T00048,2018,07,16
T00049,2015,05,08
T00050,2019,08,19
T00051,2017,06,26
T00052,2014,06,29
T00053,2014,08,12
T00054,2015,04,11
T00055,2016,11,21
T00056,2014,09,23
T00057,2016,08,10
T00058,2017,08,08
T00059,2014,04,24
T00060,2020,09,25
T00061,2017,07,01
T00062,2016,02,17
T00063,2018,05,26
T00064,2018,01,31
T00065,2019,11,28
T00066,2016,04,20
T00067,2018,06,26
T00068,2014,04,20
T00069,2014,07,18
T00070,2016,10,13
T00071,2015,06,14
T00072,2019,03,11
T00073,2019,06,01
T00074,2019,11,04
T00075,2017,06,01
T00076,2018,09,30
T00077,2015,05,21
T00078,2014,03,26
T00079,2018,06,26
T00080,2017,02,04
T00081,2014,04,08
T00082,2014,09,03
T00083,2018,04,14
T00084,2019,12,08
T00085,2014,06,22
T00086,2020,05,31
T00087,2015,03,27
T00088,2019,06,15
T00089,2018,07,22
T00090,2017,02,02
T00091,2018,05,20
T00092,2016,08,30
T00093,2015,08,19
T00094,2021,01,10
T00095,2017,04,15
T00096,2018,05,03
T00097,2014,11,05
T00098,2015,08,17
T00099,2014,04,20
T00100,2018,03,21
T00101,2016,09,09
T00102,2016,07,11
T00103,2017,12,31
T00104,2014,10,22
T00105,2017,06,30
T00106,2020,01,16
T00107,2018,05,14
T00108,2020,02,12
T00109,2019,08,13
T00110,2014,02,04
T00111,2014,06,24
T00112,2016,09,07
T00113,2018,05,31
T00114,2015,05,23
T00115,2018,03,03
T00116,2016,09,25
T00117,2015,04,26
T00118,2019,10,12
T00119,2020,07,09
T00120,2016,03,02
T00121,2018,10,02
T00122,2019,03,22
T00123,2016,01,26
T00124,2018,07,12
T00125,2015,05,13
T00126,2016,06,20
T00127,2017,02,07
T00128,2017,06,18
T00129,2019,08,16
T00130,2021,01,20
T00131,2018,06,23
T00132,2016,08,19
T00133,2017,01,29
